Game 500,Andover,11,Acton-Boxborough,4,06/21/2023
Game 501,Wayland/Weston,0,North Andover,5,06/21/2023
Game 502,Belmont,7,Wayland,17,06/21/2023
Game 506,Cambridge,20,Winchester,1,06/21/2023
Game 507,Marblehead,8,Reading Black,4,06/21/2023
Game 503,Waltham,2,Billerica,1,06/22/2023
Game 504,Brookline,11,Woburn,7,06/22/2023
Game 505,Winthrop,0,Arlington,19,06/22/2023
Game 508,Waltham,2,Wayland/Weston,8,06/22/2023
Game 510,Chelmsford,5,Billerica,6,06/22/2023
Game 512,Wayland,3,Andover,4,06/22/2023
Game 514,Maynard/Stow,1,Reading Black,2,06/22/2023
Game 516,Cambridge,13,Woburn,0,06/22/2023
Game 509,Belmont,2,Lincoln-Sudbury,9,06/23/2023
Game 511,North Andover,12,Acton-Boxborough,9,06/23/2023
Game 513,Melrose,13,Winchester,10,06/23/2023
Game 515,Brookline,1,Arlington,12,06/23/2023
Game 517,North Andover,6,Wayland,9,06/26/2023
Game 519,Wayland/Weston,2,Lincoln-Sudbury,8,06/26/2023
Game 522,Arlington,1,Cambridge,5,06/27/2023
Game 523,Marblehead,11,Maynard/Stow,6,06/27/2023
Game 524,Melrose,20,Winthrop,0,06/27/2023
Game 526,Billerica,8,Belmont,5,06/27/2023
Game 529,Wayland/Weston,6,Chelmsford,3,06/27/2023
Game 530,Winchester,3,Reading Black,1,06/27/2023
Game 532,Woburn,0,Melrose,12,06/27/2023
Game 533,Maynard/Stow,1,Reading Red,15,06/27/2023
Game 534,Wayland,21,Acton-Boxborough,7,06/27/2023
Game 527,North Andover,4,Waltham,12,06/28/2023
Game 536,Andover,13,Belmont,5,06/28/2023
Game 538,Winthrop,0,Marblehead,11,06/29/2023
Game 541,Wayland/Weston,0,Andover,9,06/29/2023
Game 542,Wayland,13,Billerica,3,06/29/2023
Game 543,North Andover,10,Belmont,16,06/29/2023
Game 544,Brookline,0,Melrose,12,06/29/2023
Game 601,Reading Black,0,Reading Red,16,06/29/2023
Game 540,Waltham,1,Chelmsford,9,06/30/2023
Game 546,Winthrop,4,Woburn,11,06/30/2023
Game 547,Cambridge,0,Maynard/Stow,6,06/30/2023
Game 521,Billerica,6,Acton-Boxborough,3,07/06/2023
Game 550,Wayland,7,Lincoln-Sudbury,3,07/06/2023
Game 552,Belmont,4,Wayland/Weston,7,07/06/2023
Game 553,Andover,8,Billerica,9,07/06/2023
Game 554,Reading Red,5,Maynard/Stow,3,07/06/2023
Game 535,Brookline,2,Reading Black,2,07/07/2023
Game 549,North Andover,5,Chelmsford,4,07/07/2023
Game 551,Acton-Boxborough,0,Waltham,12,07/07/2023
Game 539,Acton-Boxborough,2,Lincoln-Sudbury,15,07/08/2023
Game 563,Lincoln-Sudbury,3,Billerica,6,07/11/2023
Game 565,Andover,9,North Andover,6,07/11/2023
Game 566,Wayland,8,Wayland/Weston,3,07/11/2023
Game 571,Cambridge,14,Winthrop,0,07/11/2023
Game 528,Lincoln-Sudbury,0,Andover,2,07/12/2023
Game 559,Arlington,12,Reading Black,0,07/12/2023
Game 567,Waltham,5,Belmont,5,07/12/2023
Game 576,Melrose,3,Woburn,4,07/12/2023
Game 560,Reading Red,4,Cambridge,7,07/13/2023
Game 574,Brookline,2,Marblehead,4,07/13/2023
Game 578,Billerica,10,Wayland/Weston,11,07/13/2023
Game 579,Acton-Boxborough,15,Belmont,3,07/13/2023
Game 582,Winthrop,0,Reading Black,12,07/13/2023
Game 583,Winchester,7,Brookline,3,07/13/2023
Game 584,Woburn,2,Reading Red,14,07/13/2023
Game 531,Arlington,1,Marblehead,6,07/14/2023
Game 564,Chelmsford,15,Acton-Boxborough,3,07/14/2023
Game 568,Reading Black,10,Melrose,11,07/14/2023
Game 569,Reading Red,13,Brookline,1,07/14/2023
Game 580,Andover,0,Chelmsford,2,07/14/2023
Game 581,North Andover,9,Lincoln-Sudbury,10,07/14/2023
Game 572,Winchester,7,Maynard/Stow,1,07/17/2023
Game 573,Maynard/Stow,6,Winthrop,5,07/17/2023
Game 587,Acton-Boxborough,4,Andover,5,07/17/2023
Game 588,North Andover,7,Wayland/Weston,2,07/17/2023
Game 589,Billerica,10,Waltham,4,07/17/2023
Game 591,Arlington,14,Maynard/Stow,2,07/17/2023
Game 592,Winchester,1,Cambridge,10,07/17/2023
Game 593,Reading Black,6,Marblehead,5,07/17/2023
Game 518,Waltham,3,Andover,15,07/18/2023
Game 586,Reading Red,4,Melrose,1,07/18/2023
Game 590,Lincoln-Sudbury,12,Chelmsford,8,07/18/2023
Game 599,Marblehead,16,Winthrop,1,07/18/2023
Game 602,Arlington,12,Brookline,5,07/18/2023
Game 603,Woburn,0,Cambridge,6,07/18/2023
Game 594,Wayland/Weston,5,Waltham,7,07/19/2023
Game 595,Lincoln-Sudbury,5,Belmont,4,07/19/2023
Game 597,Acton-Boxborough,11,North Andover,9,07/19/2023
Game 604,Melrose,2,Reading Red,14,07/19/2023
Game 605,Woburn,2,Brookline,14,07/19/2023
Game 607,Maynard/Stow,5,Marblehead,6,07/19/2023
Game 608,Cambridge,14,Reading Black,7,07/19/2023
Game 525,Winchester,5,Reading Red,14,07/20/2023
Game 606,Waltham,3,Lincoln-Sudbury,9,07/20/2023
Game 609,Wayland,1,North Andover,7,07/20/2023
Game 610,Andover,8,Waltham,3,07/20/2023
Game 613,Acton-Boxborough,13,Billerica,3,07/20/2023
Game 614,Cambridge,1,Arlington,6,07/20/2023
Game 615,Woburn,5,Marblehead,17,07/20/2023
Game 616,Reading Red,8,Winchester,3,07/20/2023
Game 617,Reading Black,0,Maynard/Stow,12,07/21/2023
Game 562,Winthrop,5,Brookline,6,07/22/2023
Game 585,Arlington,3,Melrose,4,07/24/2023
Game 618,Belmont,2,Billerica,17,07/24/2023
Game 619,Acton-Boxborough,0,Wayland,8,07/24/2023
Game 620,Waltham,4,North Andover,8,07/24/2023
Game 623,Marblehead,1,Arlington,7,07/24/2023
Game 624,Reading Red,18,Winthrop,1,07/24/2023
Game 596,Billerica,1,Chelmsford,9,07/25/2023
Game 600,Winchester,8,Melrose,3,07/25/2023
Game 612,Chelmsford,2,Belmont,2,07/25/2023
Game 621,Chelmsford,16,Wayland/Weston,4,07/25/2023
Game 622,Reading Black,2,Winchester,3,07/25/2023
Game 637,Woburn,1,Maynard/Stow,12,07/25/2023
Game 629,Belmont,1,North Andover,8,07/25/2023
Game 635,Wayland,17,Belmont,5,07/26/2023
Game 545,Marblehead,1,Reading Red,9,07/27/2023
Game 636,Andover,6,Lincoln-Sudbury,7,07/27/2023
Game 638,Maynard/Stow,11,Brookline,6,07/27/2023
Game 643,Billerica,2,Andover,3,07/27/2023
Game 631,Reading Red,7,Marblehead,0,07/28/2023
Game 642,Wayland/Weston,2,Belmont,3,07/28/2023
Game 555,Cambridge,3,Melrose,8,07/29/2023
Game 548,Arlington,8,Winchester,4,07/30/2023
Game 630,Melrose,8,Brookline,3,07/30/2023
Game 632,Woburn,16,Winthrop,5,07/30/2023
Game 634,Winchester,18,Arlington,13,07/30/2023
Game 644,Melrose,5,Cambridge,7,07/30/2023
Game 646,Winthrop,3,Winchester,4,07/30/2023
Game 611,Lincoln-Sudbury,7,Wayland/Weston,0,07/31/2023
Game 625,Lincoln-Sudbury,18,Acton-Boxborough,5,07/31/2023
Game 648,Belmont,0,Andover,7,07/31/2023
